hours_studied_per_week,attendance_percentage,previous_grade,sleep_hours_per_night,has_tutor,study_group_participation,assignments_completion_percentage,extracurricular_hours_per_week,final_grade
13.7,90.4,81.3,5.5,0,1,99.8,12.8,69.3
18.6,83.5,76.2,10.3,0,0,94.7,2.7,76.0
22.5,80.0,45.3,6.1,0,0,100.0,0.2,60.8
15.4,75.3,55.2,5.0,0,1,97.0,0.2,64.6
23.1,81.5,72.1,6.7,0,1,100.0,6.4,87.9
8.1,94.3,69.0,11.9,0,0,97.5,5.5,56.2
6.5,85.7,75.1,8.3,0,0,52.8,1.3,54.3
14.7,64.3,69.4,7.9,0,0,81.6,2.9,63.8
16.9,79.3,93.4,8.2,0,1,98.2,2.0,85.8
14.8,81.7,47.5,5.8,0,1,100.0,10.2,72.1
4.7,79.8,78.6,7.5,0,0,79.4,9.0,55.3
14.6,76.9,84.9,7.0,0,0,86.1,12.4,68.9
8.5,78.6,83.4,9.7,0,0,86.8,6.0,58.5
18.3,53.1,84.4,6.8,1,0,90.2,7.2,85.5
16.8,82.0,86.2,6.4,0,0,89.8,0.7,79.4
10.3,69.7,67.8,5.3,1,0,66.2,5.3,57.0
12.4,60.2,61.8,7.2,0,1,87.0,3.7,62.6
9.7,89.6,50.6,7.4,0,1,94.6,9.9,68.3
14.7,90.6,70.6,5.2,0,1,99.8,2.5,77.9
19.8,74.9,65.7,7.7,1,0,100.0,0.3,83.1
10.1,95.8,88.9,7.3,0,0,89.4,2.7,78.5
17.5,93.1,71.5,8.5,0,1,100.0,3.5,83.4
12.3,85.2,62.6,8.8,0,0,68.8,0.7,55.5
11.0,71.7,60.7,7.1,0,1,87.8,1.5,63.1
14.5,80.8,98.9,5.4,0,0,90.2,2.7,79.8
9.8,72.6,74.7,5.8,0,0,77.2,1.4,52.1
12.2,87.2,65.6,9.6,0,0,71.0,1.4,52.9
9.0,70.8,76.5,7.2,0,0,69.9,0.4,58.6
24.8,75.9,97.8,9.6,0,1,97.3,8.5,92.2
15.2,85.0,70.3,7.7,1,0,100.0,4.2,85.2
11.5,95.1,83.2,8.1,1,0,93.9,0.0,78.6
16.1,67.6,89.2,8.4,0,0,98.4,4.4,75.5
14.4,60.1,52.3,5.2,0,1,78.7,4.0,50.6
13.9,77.0,67.3,7.5,1,0,100.0,0.0,76.0
18.1,83.0,87.7,5.1,0,0,89.7,1.4,76.5
18.8,86.5,66.6,6.6,0,0,100.0,2.8,83.6
12.3,74.4,80.0,8.0,1,0,75.9,1.8,70.0
12.1,91.7,65.9,5.5,0,0,100.0,4.5,77.2
13.6,74.3,69.7,7.8,0,1,100.0,1.7,75.9
3.5,64.4,68.2,4.8,1,0,69.9,0.5,36.3
7.4,66.7,82.6,8.7,0,0,52.4,11.2,49.4
21.8,81.8,77.4,6.0,1,1,94.0,0.8,84.0
23.2,78.9,76.2,5.5,1,0,100.0,3.8,87.7
13.8,90.0,100.0,4.8,1,0,91.4,0.5,82.7
17.9,62.8,95.9,6.1,0,0,88.6,1.2,83.4
16.6,70.3,51.2,4.1,0,0,100.0,1.8,64.9
30.4,81.5,69.7,6.2,0,1,92.7,0.6,77.9
20.6,90.5,100.0,8.6,0,1,100.0,1.8,98.1
14.4,87.0,68.1,6.7,0,1,100.0,0.5,78.0
10.2,93.7,100.0,5.2,0,1,89.2,2.5,83.3
7.0,67.8,69.9,7.3,0,0,62.4,3.3,48.0
16.0,93.3,72.2,7.2,0,0,96.8,0.2,76.2
11.2,79.0,85.4,9.9,0,0,77.1,6.1,63.2
7.9,82.3,73.9,8.2,1,0,91.3,0.6,69.2
11.8,70.2,80.9,7.5,1,1,82.4,0.8,77.5
9.6,96.6,93.9,8.4,1,1,42.8,3.2,69.4
23.4,70.4,84.1,6.8,0,0,100.0,1.9,82.0
19.4,76.3,76.7,6.9,1,0,92.0,2.1,85.4
15.0,74.6,95.1,9.5,1,0,100.0,0.4,83.4
22.4,84.9,85.5,4.5,0,0,100.0,4.9,88.9
15.4,63.8,66.2,8.5,0,0,86.0,2.9,70.6
10.7,93.0,98.8,6.8,0,0,91.3,0.4,79.6
22.6,78.7,82.7,6.6,0,1,100.0,1.4,90.9
17.7,97.1,72.4,6.2,0,1,91.7,5.0,81.6
9.8,82.3,50.8,7.2,0,0,89.2,2.5,57.8
14.0,85.6,58.5,6.9,1,0,100.0,0.3,75.1
10.6,72.7,95.4,6.4,0,0,85.9,1.4,70.0
8.1,92.1,95.9,5.9,0,1,77.6,0.8,79.4
19.6,96.7,76.0,4.1,1,1,100.0,2.2,89.4
24.5,40.0,53.8,5.9,0,1,91.0,5.6,64.3
8.0,84.2,62.0,6.2,1,0,85.5,1.7,56.4
17.8,78.0,55.5,7.2,0,1,100.0,1.7,76.6
11.7,73.4,55.1,9.9,1,0,72.6,7.1,59.3
12.6,77.2,99.3,6.1,0,0,63.7,2.6,65.3
12.0,78.9,99.7,5.5,0,0,82.7,2.5,65.8
10.7,75.7,61.5,5.9,0,0,80.3,0.9,54.5
15.2,89.9,74.9,7.2,1,1,100.0,2.8,89.1
10.8,83.1,59.6,7.9,1,0,97.3,2.6,73.4
16.4,94.5,74.8,8.1,0,0,100.0,1.5,88.5
14.7,79.9,94.7,8.2,1,0,58.6,14.0,68.3
13.8,87.4,87.9,8.5,0,0,82.2,6.4,74.5
10.5,66.4,84.7,6.6,0,0,61.9,4.2,52.8
12.1,75.3,72.7,10.1,1,0,98.7,2.3,72.3
18.8,63.3,90.1,6.5,0,0,79.9,1.9,74.8
17.5,80.1,82.8,7.2,0,0,100.0,0.6,81.1
10.1,86.1,79.8,8.9,1,1,100.0,1.1,82.9
15.5,77.3,73.6,7.8,1,0,73.8,4.5,73.7
18.8,64.9,78.8,4.0,1,0,87.7,1.8,72.6
6.7,76.6,78.5,7.0,1,0,76.8,6.4,62.6
17.7,81.1,68.5,8.3,0,1,100.0,0.5,78.2
11.7,65.9,65.7,5.0,1,1,62.4,2.1,46.8
17.9,79.2,63.0,8.1,0,0,100.0,3.1,76.4
11.2,64.7,63.8,7.6,1,0,71.5,2.2,58.0
6.0,78.6,72.7,8.8,0,1,79.3,6.6,60.9
6.9,81.4,70.8,6.0,0,1,95.5,13.7,63.9
15.2,69.3,67.6,8.5,0,1,92.2,0.4,70.4
16.3,88.0,66.7,7.2,0,1,89.1,0.4,75.6
10.5,46.6,78.5,9.6,0,1,69.3,0.4,49.7
18.2,82.1,91.5,11.2,1,0,100.0,3.4,83.2
6.7,77.1,74.9,9.3,1,0,74.0,1.4,56.0
14.7,87.1,74.1,7.7,0,1,100.0,4.0,83.1
8.9,88.1,63.8,10.5,1,1,92.0,1.6,65.1
11.7,86.6,72.3,7.9,0,0,95.7,3.0,75.5
15.2,90.7,89.3,5.6,0,1,83.5,4.4,79.1
10.7,63.2,87.4,6.9,0,0,93.0,2.4,69.7
13.1,72.3,86.6,8.1,1,0,87.9,2.3,77.4
20.0,72.4,86.2,8.2,1,1,100.0,0.3,94.2
12.1,94.7,80.2,5.3,0,0,77.3,1.6,70.1
19.2,86.2,79.8,5.4,0,0,100.0,2.4,84.8
9.4,61.3,77.9,6.5,0,0,68.2,1.9,45.7
17.6,85.7,70.0,7.8,0,0,100.0,6.9,86.3
22.2,81.5,76.0,8.0,0,0,100.0,7.1,92.0
2.6,79.7,77.6,7.2,0,0,55.0,5.2,45.7
11.0,60.7,82.6,5.7,0,0,87.7,1.4,62.5
17.9,66.2,76.2,9.6,1,1,70.2,3.8,67.9
14.0,94.1,100.0,5.4,0,1,100.0,1.5,83.7
16.9,97.7,60.5,9.0,0,0,100.0,0.8,74.0
12.0,78.2,84.1,8.1,0,1,66.5,1.3,63.9
15.4,85.0,74.5,8.9,1,0,90.6,0.2,76.3
14.2,81.8,75.0,6.3,1,0,100.0,1.2,77.0
20.8,74.6,65.2,6.8,1,0,99.4,1.9,80.6
16.3,78.5,87.2,7.1,0,1,100.0,9.3,87.8
16.7,64.2,82.8,6.3,1,1,99.7,1.1,81.1
12.9,92.5,85.0,7.3,0,0,100.0,7.0,87.1
12.6,59.0,77.0,9.4,0,0,80.6,0.8,59.5
12.8,97.3,71.1,5.1,0,0,100.0,0.6,80.6
17.0,47.7,74.2,6.0,0,0,67.1,2.2,57.7
12.9,95.5,80.2,5.9,1,0,100.0,3.3,85.3
16.4,71.9,50.9,6.9,1,0,100.0,0.1,68.6
25.4,53.2,85.5,6.8,0,1,98.9,0.7,82.6
19.4,91.0,100.0,8.2,0,0,100.0,1.8,96.1
13.4,82.0,80.8,7.1,0,1,100.0,1.2,79.1
21.0,82.4,71.6,7.5,0,1,100.0,3.7,90.5
13.0,85.8,73.1,7.6,0,0,98.2,2.1,71.5
4.8,80.3,83.5,7.4,1,1,71.5,0.5,64.1
10.0,63.1,71.9,8.1,1,1,80.0,6.7,68.6
5.6,75.9,85.4,6.8,0,0,43.7,1.0,44.5
13.2,78.9,72.9,9.5,1,0,91.6,3.9,72.8
15.1,56.8,95.6,10.8,0,1,51.8,4.5,57.3
23.4,86.0,95.2,8.1,0,0,100.0,9.9,92.4
16.6,76.4,71.0,7.3,0,0,100.0,2.1,80.5
13.9,47.9,74.0,7.9,0,0,72.7,2.9,52.3
19.1,82.1,74.7,5.3,1,1,100.0,1.2,87.8
3.9,75.8,74.9,7.3,0,1,65.5,3.4,54.1
16.2,63.8,63.6,5.9,0,1,97.5,1.9,65.9
18.9,71.3,62.0,7.8,0,0,100.0,1.7,74.4
7.6,60.3,90.0,5.9,1,0,78.2,5.8,61.5
20.7,68.2,88.1,6.5,0,0,66.8,0.2,74.5
16.7,55.8,87.9,4.2,1,1,80.2,6.4,70.2
12.9,76.4,74.2,5.2,1,0,98.7,5.7,74.0
18.2,73.1,97.7,7.5,0,0,78.9,2.1,76.7
26.4,60.5,74.7,5.7,0,0,100.0,2.0,71.4
15.9,93.6,85.4,8.6,1,0,81.1,1.3,87.0
16.2,68.6,58.3,5.6,0,1,100.0,15.4,65.7
12.7,95.4,72.2,7.7,1,1,95.1,0.4,84.1
10.8,72.5,73.1,5.9,0,1,29.7,2.7,39.9
19.2,91.4,74.2,7.6,0,0,100.0,3.4,89.4
10.7,89.7,59.1,4.7,1,1,100.0,8.2,72.2
15.4,92.3,83.4,6.3,1,1,93.3,4.5,92.1
12.6,87.0,87.3,5.7,1,0,97.6,3.1,80.6
17.4,75.6,66.1,8.3,0,1,89.8,0.4,70.5
16.7,90.1,61.2,7.7,1,0,94.5,1.4,81.9
20.2,93.8,65.8,5.2,1,1,100.0,0.4,89.8
12.4,80.7,80.9,6.7,1,1,79.5,6.4,79.7
13.7,78.5,67.8,5.8,0,1,94.7,4.2,68.5
10.1,65.0,73.4,8.4,0,0,62.6,4.3,50.0
12.8,91.2,62.1,8.9,1,0,100.0,3.2,76.8
16.9,45.6,98.8,4.8,0,0,90.3,2.1,67.8
18.8,76.4,75.9,8.2,0,0,100.0,0.5,83.7
10.4,67.1,88.8,5.8,0,1,89.2,1.2,61.7
19.3,83.7,80.9,6.6,0,1,100.0,0.4,84.8
21.8,75.6,74.5,7.0,0,1,100.0,3.9,85.0
17.1,65.4,73.9,9.7,0,0,76.0,0.5,52.3
24.4,77.4,66.3,5.5,1,1,100.0,3.6,81.3
11.1,76.3,69.6,8.3,0,1,86.6,3.5,68.9
8.8,64.9,62.9,5.2,0,1,64.1,1.8,45.3
6.1,94.1,61.6,5.1,0,0,40.7,0.4,41.7
22.5,86.3,100.0,7.0,0,0,100.0,1.1,100.0
18.3,93.6,78.3,7.0,0,0,100.0,1.2,87.3
14.7,73.4,92.6,4.0,1,1,100.0,3.6,85.5
16.4,81.5,65.5,8.7,0,1,87.1,0.4,71.1
9.4,83.9,60.0,4.0,1,1,85.7,5.3,55.3
27.2,64.4,63.3,6.8,0,0,100.0,4.3,71.1
15.6,95.5,69.9,9.0,0,0,100.0,0.6,78.0
15.5,82.1,75.4,10.3,0,1,61.4,3.8,64.1
18.6,89.5,73.2,6.5,0,1,100.0,3.3,86.9
17.4,83.4,65.7,4.9,1,1,100.0,4.1,79.3
16.1,44.0,76.1,8.9,1,1,84.9,0.6,70.2
11.0,93.2,77.1,8.3,0,0,78.3,0.5,71.5
17.4,70.8,83.4,6.3,0,1,100.0,0.8,84.2
24.4,94.6,92.6,6.1,0,1,100.0,1.4,99.2
21.7,82.2,70.6,5.9,0,0,100.0,4.7,80.5
23.0,92.4,89.6,6.5,1,0,100.0,4.0,100.0
12.4,98.5,75.8,7.5,0,0,97.7,7.8,83.2
10.1,73.1,56.7,6.2,1,0,96.1,0.2,64.0
14.4,80.9,96.4,6.3,0,1,95.3,0.0,85.0
15.3,82.6,100.0,8.0,0,0,99.0,3.6,88.2
20.5,82.9,82.4,4.8,0,0,91.3,1.0,76.4
6.5,62.0,76.1,6.4,0,0,82.4,1.2,53.1
22.6,85.2,71.7,4.5,1,0,100.0,2.4,87.4
14.2,81.8,69.4,7.2,0,0,84.1,0.3,66.2
12.9,84.4,89.5,4.1,1,1,87.9,3.1,82.2
9.9,93.7,74.8,8.3,0,0,97.5,1.2,75.1
6.7,79.1,95.1,5.0,1,0,88.3,3.0,70.8
19.1,71.3,75.4,4.3,0,0,100.0,5.4,80.1
15.4,99.2,70.1,6.5,1,0,91.7,0.6,80.0
8.6,52.5,67.8,9.6,1,0,67.2,8.0,54.4
8.5,91.6,66.1,8.1,1,0,95.0,2.3,73.4
13.3,84.9,81.2,4.1,0,1,82.0,7.7,71.7
23.3,93.4,59.5,5.0,1,1,100.0,0.7,82.5
13.7,92.2,65.2,6.4,0,0,100.0,2.8,74.1
7.5,66.6,90.9,10.4,0,0,64.8,1.6,50.7
13.8,85.2,63.5,5.6,0,1,82.4,4.5,63.1
13.6,75.5,85.4,5.6,0,1,91.2,2.8,74.6
2.0,53.7,50.2,9.3,1,0,54.4,2.0,25.4
14.7,69.0,92.4,7.3,0,1,80.6,7.3,80.6
13.8,84.0,59.8,8.6,0,1,92.6,1.4,73.2
18.5,90.6,64.5,5.9,0,1,100.0,0.7,76.6
24.2,86.0,83.2,6.8,0,0,95.6,2.8,92.5
20.6,70.5,78.2,9.0,0,0,100.0,2.9,80.4
13.7,63.2,85.7,6.8,0,0,75.5,1.7,61.3
9.5,69.3,59.7,8.7,0,1,71.5,2.0,53.5
27.9,89.9,71.6,7.6,0,1,100.0,9.6,89.5
15.3,96.4,67.6,5.4,1,0,85.5,4.0,76.1
15.1,94.1,61.7,7.0,1,1,100.0,0.4,81.9
14.9,90.6,82.2,8.5,1,1,100.0,0.7,86.9
16.0,81.1,86.3,8.0,0,1,57.1,11.1,70.9
14.3,97.6,71.0,6.9,0,1,100.0,3.9,82.8
12.1,61.3,93.3,4.2,0,1,78.6,7.4,62.4
12.3,86.1,65.6,4.3,0,0,92.9,1.1,64.7
14.8,89.9,93.0,4.6,0,1,90.3,4.1,78.8
12.3,62.0,81.7,6.2,0,1,75.8,3.8,60.3
11.4,81.1,60.3,6.4,0,0,94.0,1.0,66.8
15.5,77.6,98.8,4.8,0,0,100.0,2.4,78.6
13.7,79.8,69.7,8.5,1,1,85.2,3.0,67.8
22.5,67.3,89.5,5.1,0,0,100.0,2.0,84.0
2.0,95.2,76.7,4.9,0,1,82.0,5.3,59.1
20.5,80.9,79.5,7.1,0,0,100.0,5.4,86.9
21.2,71.3,85.8,8.5,0,0,94.0,5.7,83.3
4.6,75.5,85.2,10.1,0,0,56.3,4.9,47.8
13.3,81.5,70.9,7.9,0,0,100.0,2.0,71.8
13.1,90.3,81.4,9.4,0,1,81.6,1.4,77.5
8.0,89.6,80.5,5.2,1,0,90.1,5.3,68.3
11.1,91.7,77.6,10.2,1,0,100.0,2.0,78.7
9.4,97.9,72.6,4.2,0,0,87.9,0.8,65.7
23.8,88.3,77.5,6.2,0,0,100.0,2.1,83.8
19.7,95.7,98.6,7.8,0,0,100.0,0.5,93.2
21.4,77.3,71.5,4.6,1,1,100.0,3.5,88.8
18.6,78.0,89.5,5.6,0,0,89.3,1.2,76.1
9.4,80.9,67.6,5.4,0,0,89.9,0.9,57.9
12.4,88.0,64.4,6.5,0,0,78.5,9.4,66.7
17.4,68.2,100.0,9.1,0,0,96.5,4.5,84.1
8.9,89.2,81.5,7.0,1,0,79.0,4.6,67.6
18.6,75.5,81.8,6.3,0,0,100.0,2.9,87.0
13.8,77.1,82.1,4.0,0,1,77.9,5.5,65.9
13.1,74.4,91.9,7.7,0,1,96.6,4.3,82.0
18.6,71.8,79.9,8.2,0,1,87.8,2.7,79.6
17.2,77.7,84.8,4.4,1,0,94.8,9.7,83.8
13.2,83.8,62.3,6.9,1,0,86.2,0.6,75.4
20.8,45.0,86.8,7.3,0,0,95.9,8.6,74.5
9.6,82.4,72.2,8.4,0,1,83.0,1.5,67.6
18.1,93.8,83.1,5.9,0,1,100.0,2.3,91.3
18.0,72.5,54.4,5.7,0,0,99.1,0.4,65.9
13.5,92.7,82.6,6.3,0,0,100.0,2.3,83.1
16.6,86.9,48.1,8.9,0,1,86.6,2.8,69.3
8.7,93.5,71.7,8.6,0,1,98.0,18.2,61.9
19.6,70.6,54.5,7.0,0,1,93.9,11.1,77.2
14.1,81.9,82.6,8.5,0,1,80.0,10.2,69.6
12.4,61.8,75.8,4.0,1,1,53.8,1.3,48.5
20.2,74.3,65.8,8.2,0,0,100.0,14.2,73.5
11.5,91.0,92.2,5.3,1,1,100.0,1.8,93.3
8.0,57.3,64.2,9.7,0,1,64.1,5.7,43.7
7.2,83.8,38.6,5.4,0,1,91.8,0.7,50.0
18.0,65.4,81.2,5.7,1,0,95.7,2.1,83.8
8.6,57.0,53.8,7.8,0,0,39.6,10.1,30.1
23.8,90.2,64.6,8.0,1,0,100.0,8.8,86.6
4.6,86.8,68.8,6.3,0,0,45.9,3.5,40.6
23.5,61.3,57.9,7.6,0,1,91.3,4.8,77.5
16.1,67.5,69.1,7.7,0,0,100.0,0.6,72.2
14.5,85.0,58.1,7.6,0,0,100.0,3.8,78.7
12.3,89.6,76.9,6.4,0,1,73.7,2.9,71.3
17.0,67.3,60.3,7.8,0,0,100.0,0.3,67.4
14.8,88.8,75.4,9.1,0,0,83.4,0.4,70.0
20.5,85.7,88.9,5.2,0,0,100.0,0.3,83.8
15.6,78.7,84.4,5.7,0,1,100.0,3.9,80.5
15.8,92.9,74.0,7.0,0,0,100.0,0.5,94.1
13.2,69.2,63.1,5.4,0,1,100.0,1.9,69.7
14.7,76.6,76.9,4.3,0,0,91.0,1.3,69.6
16.5,75.5,66.7,8.6,1,1,91.4,2.4,75.8
6.4,81.5,77.4,4.0,1,0,79.1,3.7,64.3
8.3,76.4,54.4,6.4,0,0,86.4,3.5,57.0
18.7,61.8,84.7,8.1,1,0,99.5,2.2,90.1
15.9,82.8,75.4,7.4,0,0,90.1,1.9,81.3
14.1,96.3,100.0,6.4,1,0,85.0,1.5,83.9
15.1,84.1,90.7,5.4,1,0,100.0,5.9,84.9
16.7,87.0,81.8,7.5,1,0,100.0,1.2,86.5
12.3,81.4,73.5,5.5,0,0,92.9,0.9,64.4
11.1,94.6,66.2,7.4,0,0,77.9,4.1,67.2
16.0,95.1,86.3,7.2,0,0,100.0,1.3,85.6
10.1,81.9,72.2,7.2,1,1,82.8,5.6,80.2
17.0,80.3,89.0,6.0,0,1,100.0,1.2,91.5
6.5,84.5,79.8,10.1,1,0,80.7,3.6,64.0
20.1,63.9,79.9,7.5,0,0,99.8,0.1,86.1
17.4,70.2,82.1,6.6,1,1,94.6,1.5,88.9
16.3,92.7,64.0,7.4,0,0,100.0,1.3,77.0
19.9,84.1,62.7,5.8,0,1,100.0,5.1,75.4
23.3,74.5,62.3,6.4,0,0,100.0,10.2,76.2
20.1,82.6,87.6,10.6,0,1,99.2,1.9,84.4
5.8,67.6,63.7,5.8,0,0,84.1,5.2,51.3
8.6,79.3,65.1,6.9,1,1,88.6,3.6,69.5
11.9,66.6,81.5,6.3,0,0,81.3,10.3,63.9
15.1,81.5,72.0,5.4,0,1,100.0,5.0,79.4
17.6,80.5,70.4,7.6,1,0,100.0,0.2,79.7
11.4,91.0,69.4,7.1,0,0,88.2,3.7,71.2
15.9,91.4,47.1,8.4,1,1,99.3,2.3,76.2
11.2,93.1,63.4,8.2,1,0,92.3,0.0,72.9
11.9,75.0,89.2,8.4,0,1,99.0,0.9,81.7
8.0,87.7,68.5,5.6,0,0,84.2,7.6,58.3
10.4,84.6,52.2,8.0,0,1,94.3,7.8,66.6
8.2,82.0,62.9,8.0,1,0,80.4,4.8,62.9
10.1,68.2,79.3,5.5,0,1,74.0,12.0,56.3
20.3,77.9,79.1,6.5,0,1,98.6,4.9,90.0
10.3,88.7,71.5,4.8,1,0,77.5,0.0,61.0
28.2,98.5,66.7,8.0,0,1,100.0,1.0,87.1
17.5,80.2,58.2,8.0,1,1,100.0,0.1,78.2
15.9,91.9,79.4,9.1,1,0,95.3,0.3,86.7
10.7,86.1,85.1,6.7,0,1,99.7,0.7,77.8
18.5,85.4,90.5,7.7,1,0,96.8,2.1,94.8
12.1,73.1,61.7,8.5,1,1,94.8,5.6,78.8
15.6,73.7,91.4,5.9,0,0,85.8,5.9,76.2
27.8,78.8,74.3,5.6,0,0,100.0,2.9,84.4
14.5,83.0,75.3,5.9,0,0,100.0,7.9,83.2
20.7,67.9,85.7,6.5,0,0,92.0,2.1,83.5
11.5,71.5,68.5,5.7,1,1,77.7,6.6,66.4
14.8,98.1,49.0,6.0,0,1,93.2,1.8,71.9
23.9,94.4,83.5,8.3,0,0,100.0,1.0,86.7
11.9,54.5,79.2,6.9,0,0,74.4,7.4,57.1
24.1,65.6,70.7,7.5,0,1,85.7,1.5,74.1
18.5,71.5,82.5,6.2,1,0,92.1,2.1,88.6
12.2,85.8,84.9,6.1,1,0,95.0,1.2,77.7
18.2,76.6,56.9,7.4,0,0,96.8,3.3,70.2
19.9,70.6,75.3,7.2,0,0,95.6,15.9,70.7
18.1,70.9,47.7,8.2,0,0,100.0,0.1,67.4
7.1,73.1,73.5,9.0,0,1,90.4,6.9,65.0
11.4,87.9,70.5,6.0,0,0,100.0,0.0,73.4
13.8,80.3,80.9,8.3,0,1,74.4,1.4,71.8
14.6,55.4,62.1,5.4,1,0,88.7,0.6,56.4
18.1,80.8,69.9,10.1,0,0,85.6,4.2,67.7
15.9,81.6,36.4,5.8,1,1,100.0,0.2,71.9
8.3,99.4,81.7,8.0,0,0,100.0,2.4,77.0
16.9,86.8,73.9,5.4,0,0,100.0,1.0,80.7
18.1,74.2,76.0,6.8,1,1,98.4,0.4,85.0
17.8,89.9,57.1,9.3,0,0,100.0,4.4,71.8
20.4,76.8,79.8,5.8,1,1,100.0,0.7,88.4
19.2,82.4,94.8,10.3,0,0,100.0,0.8,82.5
17.3,84.3,72.8,7.0,0,1,99.4,1.0,80.7
14.6,82.9,82.8,8.5,1,0,76.4,2.7,76.1
6.7,84.3,64.6,7.6,0,0,78.6,3.2,58.5
17.1,58.4,74.1,7.7,1,1,89.5,0.1,71.4
16.0,73.6,56.6,4.9,1,1,100.0,0.8,72.1
16.4,84.7,84.5,6.3,0,0,100.0,1.7,80.5
8.6,58.3,76.9,8.8,0,0,79.6,1.2,51.5
9.6,46.7,60.4,6.5,0,0,83.3,6.5,49.6
20.3,69.9,65.4,7.2,0,1,99.4,4.6,79.3
14.8,92.8,75.7,4.7,1,1,97.9,2.9,88.0
18.4,76.3,86.1,6.2,0,1,96.4,1.2,87.5
15.1,66.8,92.8,8.7,0,0,76.2,3.6,73.8
15.1,94.1,73.4,5.1,1,1,100.0,5.6,85.2
19.7,58.2,58.6,8.1,0,0,86.2,2.7,61.3
12.4,88.8,77.9,7.3,1,0,87.9,4.6,79.9
15.5,76.9,96.4,6.6,0,0,100.0,4.1,85.1
12.7,54.4,55.5,6.6,1,1,52.6,2.5,45.4
12.8,83.0,63.5,6.3,0,1,91.9,1.1,65.0
13.5,78.0,82.3,6.4,0,0,92.7,4.1,74.3
16.1,77.7,76.8,8.4,0,1,100.0,0.7,78.7
12.6,85.0,68.5,6.4,0,1,100.0,4.5,78.0
21.3,79.2,77.6,9.7,1,0,63.2,4.9,75.1
10.5,88.0,86.7,7.4,0,0,82.2,5.2,77.4
14.1,76.9,73.8,6.1,1,1,97.6,1.9,76.0
12.8,97.2,72.8,8.5,0,1,94.1,0.6,78.9
22.2,76.0,82.1,7.9,0,0,100.0,0.3,82.7
16.0,90.0,71.8,4.5,0,0,100.0,4.1,72.3
20.2,89.1,88.7,5.4,0,0,100.0,6.5,89.3
7.6,76.5,99.3,6.8,0,0,51.4,3.2,60.8
16.3,69.1,64.3,4.6,0,1,100.0,0.5,67.4
19.4,92.2,60.0,10.1,1,0,94.2,8.2,85.9
15.4,90.1,79.5,8.2,0,1,78.5,13.6,75.3
20.3,78.5,59.6,7.0,0,0,100.0,1.7,75.4
12.4,91.7,59.4,6.5,0,0,97.8,2.7,73.1
22.0,88.6,50.4,6.1,0,0,100.0,4.5,77.5
26.5,74.7,70.4,4.1,1,1,100.0,4.0,80.9
13.2,80.5,74.6,4.4,0,0,86.0,10.3,70.3
12.8,81.3,68.8,9.9,0,1,100.0,0.4,71.5
22.3,71.5,91.7,9.4,0,0,100.0,2.6,85.8
22.9,81.5,90.8,6.1,0,0,83.2,3.5,80.5
12.4,93.1,98.1,8.4,0,0,89.4,6.6,88.0
12.9,89.0,75.6,7.8,0,0,100.0,6.2,81.6
13.6,99.7,89.2,7.9,0,1,100.0,11.5,91.5
8.3,86.8,78.7,4.9,0,0,97.7,2.2,65.8
10.4,97.7,77.5,4.3,1,1,96.0,5.3,82.9
10.0,75.7,69.4,8.8,0,0,92.1,1.7,65.3
11.2,92.6,47.8,4.0,1,0,100.0,1.6,62.2
14.8,97.1,82.6,6.8,0,0,100.0,0.9,79.7
16.2,67.4,88.8,6.4,1,0,92.0,5.1,84.2
22.8,86.1,56.7,6.3,0,1,100.0,12.8,73.6
10.0,49.9,74.9,7.5,0,1,83.9,0.9,59.3
19.9,88.0,86.9,6.0,0,0,100.0,0.2,85.8
13.9,88.8,70.7,7.6,0,0,92.2,5.1,79.5
14.8,69.2,89.3,7.2,0,1,89.2,2.9,77.6
18.4,70.1,73.3,10.1,0,1,96.6,9.6,79.4
9.4,80.6,68.7,4.9,0,1,93.1,0.9,61.9
16.9,87.5,90.0,7.0,0,0,97.6,0.2,88.8
15.8,65.7,63.8,7.6,0,0,79.2,2.0,67.8
17.5,76.9,66.3,6.6,1,1,100.0,0.3,78.7
16.4,69.1,64.3,5.0,0,1,100.0,0.9,70.5
27.3,97.2,61.3,8.9,0,0,100.0,0.4,89.4
11.8,82.4,76.8,7.5,0,1,67.4,0.8,65.1
12.3,70.5,68.8,5.1,0,1,87.3,0.3,62.0
11.9,90.3,80.9,7.7,0,0,100.0,9.2,83.5
12.2,77.2,54.2,9.6,1,0,96.7,1.0,64.7
11.8,94.4,61.5,6.9,0,0,89.2,1.8,62.4
20.9,65.4,75.6,7.0,0,0,100.0,6.9,85.7
22.1,85.8,92.6,9.4,0,1,89.1,3.4,83.4
12.1,89.0,79.5,5.5,0,0,100.0,2.9,74.4
10.8,90.9,67.9,9.6,1,1,71.1,3.7,70.2
17.4,85.1,57.1,8.5,1,1,70.8,5.3,70.2
12.2,76.0,67.2,5.6,0,0,61.9,6.3,51.4
18.2,85.2,74.5,6.0,0,0,100.0,3.1,83.3
16.0,64.1,46.7,6.2,0,1,100.0,6.6,63.3
7.4,83.3,60.4,4.2,0,1,94.9,2.3,55.0
22.7,79.4,66.1,7.4,0,1,100.0,1.0,84.4
24.0,67.5,71.9,5.7,1,0,75.8,6.4,73.3
11.9,97.3,74.3,7.4,0,0,100.0,2.3,75.6
13.1,54.7,67.7,5.1,0,0,77.1,7.1,55.6
16.4,87.1,81.1,8.4,0,1,96.9,0.1,84.7
